;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
40;Myles TurnerIND;C;62;29.4;18.0;6.5;11.8;54.8;1.5;4.0;37.3;3.5;4.5;78.3;7.5;1.4;0.6;2.3;1.7;18;0
41;Jarred VanderbiltLAL/UTAH;PF;78;24.1;7.9;3.2;5.8;54.8;0.4;1.2;32.2;1.2;1.8;69.1;7.5;2.4;1.1;0.3;1.2;10;0
42;Christian WoodDAL;A;67;25.9;16.6;5.9;11.5;51.5;1.6;4.2;37.6;3.2;4.2;77.2;7.3;1.8;0.4;1.1;1.8;12;0
43;Kyle KuzmaWSH;SF;64;35.0;21.2;8.0;17.8;44.8;2.5;7.5;33.3;2.7;3.7;73.0;7.2;3.7;0.6;0.5;3.0;14;1
44;Jabari Smith Jr.HOU;PF;79;31.0;12.8;4.6;11.3;40.8;1.5;4.9;30.7;2.1;2.6;78.6;7.2;1.3;0.5;0.9;1.3;16;0
45;Onyeka OkongwuATL;PF;80;23.1;9.9;4.0;6.2;63.8;0.1;0.2;30.8;1.9;2.5;78.1;7.2;1.0;0.7;1.3;1.0;12;0
46;Draymond GreenGS;PF;73;31.5;8.5;3.4;6.5;52.7;0.5;1.8;30.5;1.1;1.5;71.3;7.2;6.8;1.0;0.8;2.8;11;0
-;Mark WilliamsCHA;C;43;19.3;9.0;3.7;5.8;63.7;0.0;0.0;0.0;1.6;2.3;69.1;7.1;0.4;0.7;1.0;0.9;11;0
-;Zion WilliamsonNO;PF;29;33.0;26.0;9.8;16.2;60.8;0.2;0.7;36.8;6.1;8.6;71.4;7.0;4.6;1.1;0.6;3.4;5;0
49;Paolo BancheroORL;PF;72;33.8;20.0;6.7;15.6;42.7;1.2;4.0;29.8;5.5;7.4;73.8;6.9;3.7;0.8;0.5;2.8;14;0
50;Jaylen BrownBOS;SG;67;35.9;26.6;10.1;20.6;49.1;2.4;7.3;33.5;3.9;5.1;76.5;6.9;3.5;1.1;0.4;2.9;13;0
51;Jaren Jackson Jr.MEM;PF;63;28.4;18.6;6.6;13.0;50.6;1.6;4.5;35.5;3.8;4.9;78.8;6.8;1.0;1.0;3.0;1.7;7;0
52;Brook LopezMIL;C;78;30.4;15.9;6.1;11.5;53.1;1.7;4.7;37.4;1.9;2.4;78.4;6.7;1.3;0.5;2.5;1.4;11;0
-;Kevin DurantBKN/PHX;PF;47;35.6;29.1;10.3;18.3;56.0;2.0;4.9;40.4;6.5;7.1;91.9;6.7;5.0;0.7;1.4;3.3;5;1
54;Scottie BarnesTOR;SF;77;34.8;15.3;6.0;13.2;45.6;0.8;2.9;28.1;2.5;3.2;77.2;6.6;4.8;1.1;0.8;2.0;15;1
55;Andre DrummondCHI;C;67;12.7;6.0;2.5;4.1;60.6;0.0;0.0;0.0;1.0;1.9;53.6;6.6;0.5;0.7;0.4;1.1;8;0
56;Aaron GordonDEN;PF;68;30.2;16.3;6.3;11.2;56.4;0.9;2.5;34.7;2.8;4.6;60.8;6.6;3.0;0.8;0.8;1.4;11;0
57;Isaiah HartensteinNY;C;82;19.9;5.0;2.1;4.0;53.5;0.1;0.5;21.6;0.6;0.9;67.6;6.5;1.2;0.6;0.8;0.8;2;0
58;John CollinsATL;PF;71;30.0;13.1;5.1;10.0;50.8;1.0;3.4;29.2;2.0;2.5;80.3;6.5;1.2;0.6;1.0;1.1;11;0
-;Kawhi LeonardLAC;SF;52;33.6;23.8;8.6;16.8;51.2;2.0;4.8;41.6;4.7;5.4;87.1;6.5;3.9;1.4;0.5;1.7;4;0
60;Kevin LoveMIA/CLE;PF;62;20.0;8.2;2.7;6.8;38.9;1.6;4.8;33.4;1.3;1.5;87.9;6.4;1.9;0.3;0.2;1.1;6;0
-;LaMelo BallCHA;PG;36;35.2;23.3;8.2;20.0;41.1;4.0;10.6;37.6;2.8;3.4;84.3;6.4;8.4;1.3;0.3;3.6;17;3
62;Deni AvdijaWSH;SF;76;26.6;9.2;3.3;7.6;43.7;0.9;3.1;29.7;1.6;2.2;73.9;6.4;2.8;0.9;0.4;1.6;11;0
