;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
161;Malcolm BrogdonBOS;PG;67;26.0;14.9;5.3;10.9;48.4;2.0;4.4;44.4;2.4;2.7;87.0;4.2;3.7;0.7;0.3;1.5;0;0
-;Day'Ron SharpeBKN;C;48;11.5;4.7;1.9;3.6;54.4;0.1;0.2;54.5;0.7;1.1;63.6;4.2;0.8;0.3;0.7;0.9;2;0
163;Immanuel QuickleyNY;SG;81;28.9;14.9;5.2;11.6;44.8;2.1;5.6;37.0;2.5;3.1;81.9;4.2;3.4;1.0;0.2;1.2;4;0
164;Klay ThompsonGS;SG;69;33.0;21.9;7.9;18.1;43.6;4.4;10.6;41.2;1.7;1.9;87.9;4.1;2.4;0.7;0.4;1.8;2;0
165;Dwight PowellDAL;C;76;19.2;6.7;2.6;3.5;73.2;0.0;0.1;0.0;1.5;2.2;66.7;4.1;0.9;0.6;0.3;0.9;1;0
166;Franz WagnerORL;SF;80;32.6;18.6;6.8;14.0;48.5;1.6;4.5;36.1;3.4;4.0;84.2;4.1;3.5;1.0;0.2;2.1;2;0
167;Terry RozierCHA;SG;63;35.3;21.1;7.8;18.9;41.5;2.6;8.0;32.7;2.8;3.5;80.9;4.1;5.1;1.2;0.3;2.1;1;0
168;Bruce BrownDEN;SF;80;28.5;11.5;4.5;9.3;48.3;1.1;3.2;35.8;1.5;1.9;75.8;4.1;3.4;1.1;0.6;1.5;3;1
169;Usman GarubaHOU;PF;75;12.9;3.0;1.1;2.4;48.6;0.3;0.8;40.7;0.4;0.6;61.7;4.1;0.9;0.6;0.4;0.6;0;0
-;Kyle LowryMIA;PG;55;31.2;11.2;3.6;8.8;40.4;1.9;5.6;34.5;2.1;2.5;85.9;4.1;5.1;1.0;0.4;1.9;2;1
171;Bennedict MathurinIND;SG;78;28.5;16.7;5.3;12.2;43.4;1.3;4.0;32.3;4.8;5.8;82.8;4.1;1.5;0.6;0.2;1.9;0;0
172;Herbert JonesNO;SF;66;29.6;9.8;3.6;7.6;46.9;0.8;2.5;33.5;1.9;2.4;76.4;4.1;2.5;1.6;0.6;1.3;0;0
-;Orlando RobinsonMIA;C;31;13.7;3.7;1.5;2.9;52.8;0.0;0.2;0.0;0.7;1.0;71.0;4.1;0.8;0.4;0.4;0.5;0;0
174;Fred VanVleetTOR;SG;69;36.7;19.3;6.3;16.1;39.3;3.0;8.8;34.2;3.7;4.1;89.8;4.1;7.2;1.8;0.6;2.0;10;1
174;Jock LandalePHX;C;69;14.2;6.6;2.6;4.9;52.8;0.3;1.2;25.0;1.1;1.5;75.2;4.1;1.0;0.2;0.4;0.9;3;0
176;Trey LylesSAC;PF;74;16.9;7.6;2.5;5.5;45.8;1.2;3.2;36.3;1.4;1.7;81.5;4.1;0.9;0.4;0.4;0.9;1;0
177;Troy Brown Jr.LAL;SF;76;24.5;7.1;2.6;6.1;43.0;1.4;3.7;38.1;0.4;0.5;87.2;4.1;1.3;0.8;0.2;0.6;2;0
178;De'Anthony MeltonPHI;SG;77;27.9;10.1;3.6;8.5;42.5;2.0;5.2;39.0;0.9;1.1;79.3;4.1;2.6;1.6;0.5;1.3;0;0
179;Jordan ClarksonUTAH;PG;61;32.6;20.8;7.5;16.9;44.4;2.5;7.5;33.8;3.3;4.0;81.6;4.0;4.4;0.5;0.2;3.0;3;0
180;Jalen JohnsonATL;SF;70;14.9;5.6;2.3;4.6;49.1;0.4;1.5;28.8;0.7;1.1;62.8;4.0;1.2;0.5;0.5;0.6;1;0
-;Jonathan IsaacORL;PF;11;11.3;5.0;2.0;4.8;41.5;0.5;1.4;40.0;0.5;0.8;55.6;4.0;0.5;1.3;0.4;0.4;0;0
-;Jacob GilyardMEM;G;1;41.0;3.0;1.0;3.0;33.3;1.0;3.0;33.3;0.0;0.0;0.0;4.0;7.0;3.0;0.0;2.0;0;0
-;Louis KingPHI;SF;1;29.0;20.0;8.0;13.0;61.5;4.0;8.0;50.0;0.0;1.0;0.0;4.0;2.0;1.0;0.0;2.0;0;0
184;Patrick WilliamsCHI;PF;82;28.3;10.2;3.8;8.3;46.4;1.4;3.4;41.5;1.1;1.3;85.7;4.0;1.2;0.9;0.9;1.2;1;0
185;Marcus Morris Sr.LAC;SF;65;28.1;11.2;4.2;9.9;42.6;1.7;4.7;36.5;1.0;1.3;78.2;4.0;1.8;0.6;0.3;0.9;2;0
186;Jamal MurrayDEN;PG;65;32.8;20.0;7.3;16.0;45.4;2.6;6.6;39.8;2.8;3.3;83.3;4.0;6.2;1.0;0.2;2.2;5;1
187;P.J. TuckerPHI;PF;75;25.6;3.5;1.3;3.0;42.7;0.7;1.9;39.3;0.3;0.3;82.6;3.9;0.8;0.5;0.2;0.6;0;0
-;Bradley BealWSH;SG;50;33.5;23.2;8.9;17.6;50.6;1.6;4.4;36.5;3.8;4.6;84.2;3.9;5.4;0.9;0.7;2.9;2;0
189;Markelle FultzORL;PG;60;29.6;14.0;5.8;11.3;51.4;0.5;1.5;31.0;1.9;2.4;78.3;3.9;5.7;1.5;0.4;2.3;3;0
-;Devin VassellSA;SG;38;31.0;18.5;6.9;15.7;43.9;2.7;7.0;38.7;2.1;2.6;78.0;3.9;3.6;1.1;0.4;1.5;0;0
191;Jaden IveyDET;PG;74;31.1;16.3;5.5;13.3;41.6;1.6;4.7;34.3;3.6;4.8;74.7;3.9;5.2;0.8;0.2;3.2;8;0
192;Jaden McDanielsMIN;PF;79;30.6;12.1;4.7;9.1;51.7;1.4;3.4;39.8;1.3;1.8;73.6;3.9;1.9;0.9;1.0;1.4;0;0
-;Moses BrownLAC/BKN;C;36;8.2;4.3;1.7;2.7;63.5;0.0;0.0;0.0;0.9;2.0;45.8;3.9;0.1;0.1;0.4;0.4;3;0
194;Trendon WatfordPOR;PF;62;19.1;7.4;2.9;5.2;56.0;0.4;1.0;39.1;1.2;1.6;72.0;3.8;2.1;0.5;0.2;1.1;3;0
195;Nicolas BatumLAC;PF;78;21.9;6.1;2.1;4.9;42.0;1.6;4.1;39.1;0.4;0.6;70.8;3.8;1.6;0.7;0.6;0.6;0;0
-;Jae CrowderMIL/PHX;PF;18;18.9;6.9;2.5;5.2;47.9;1.3;3.1;43.6;0.6;0.7;83.3;3.8;1.5;0.7;0.3;0.4;0;0
197;Caris LeVertCLE;SG;74;30.2;12.1;4.3;10.0;43.1;1.7;4.4;39.2;1.8;2.4;72.2;3.8;3.9;1.0;0.3;1.6;1;0
-;Jae'Sean TateHOU;SF;31;21.8;9.1;3.5;7.4;48.0;0.4;1.5;28.3;1.6;2.2;72.5;3.8;2.7;0.7;0.2;1.5;0;0
-;Xavier CooksWSH;G;10;12.6;3.8;1.7;2.8;60.7;0.0;0.1;0.0;0.4;1.0;40.0;3.8;0.6;0.6;0.4;0.8;1;0
-;Jarrett CulverATL;G;10;13.7;4.4;1.7;4.3;39.5;0.1;1.2;8.3;0.9;1.3;69.2;3.8;0.6;0.6;0.2;0.7;0;0
201;Paul ReedPHI;SF;69;10.9;4.2;1.8;3.0;59.3;0.0;0.1;16.7;0.6;0.7;74.5;3.8;0.4;0.7;0.7;0.7;5;0
202;Aaron NesmithIND;SF;73;24.9;10.1;3.5;8.1;42.7;1.6;4.3;36.6;1.6;1.9;83.8;3.8;1.3;0.8;0.5;1.0;1;0
-;Blake GriffinBOS;PF;41;13.9;4.1;1.5;3.2;48.5;0.6;1.6;34.8;0.5;0.8;65.6;3.8;1.5;0.3;0.2;0.5;0;0
204;Bojan BogdanovicDET;SF;59;32.1;21.6;7.3;14.9;48.8;2.5;6.0;41.1;4.5;5.1;88.4;3.8;2.6;0.6;0.1;2.3;0;0
-;Meyers LeonardMIL;C;9;12.7;4.8;1.6;3.2;48.3;0.8;2.0;38.9;0.9;1.0;88.9;3.8;0.1;0.2;0.0;0.7;1;0
-;Justin MinayaPOR;F;4;22.3;4.3;1.8;5.8;30.4;0.8;3.0;25.0;0.0;0.3;0.0;3.8;1.0;0.5;1.3;1.0;0;0
207;Jalen GreenHOU;SG;76;34.2;22.1;7.4;17.9;41.7;2.5;7.3;33.8;4.8;6.1;78.6;3.7;3.7;0.8;0.2;2.6;0;0
208;Jordan NworaIND/MIL;SF;62;19.2;8.7;3.1;7.2;43.6;1.4;3.4;40.8;1.1;1.4;79.1;3.7;1.4;0.4;0.2;1.1;1;0
209;Patrick BeverleyLAL/CHI;PG;67;27.1;6.2;2.1;5.4;40.0;1.2;3.6;33.5;0.7;1.0;72.3;3.7;2.9;0.9;0.6;0.9;2;0
209;Keita Bates-DiopSA;SF;67;21.7;9.7;3.5;6.9;50.8;0.8;2.1;39.4;1.8;2.2;79.3;3.7;1.5;0.7;0.3;0.8;0;0
-;Tyrese HaliburtonIND;PG;56;33.6;20.7;7.4;15.0;49.0;2.9;7.2;40.0;3.1;3.6;87.1;3.7;10.4;1.6;0.4;2.5;32;0
-;Maxi KleberDAL;PF;37;25.1;5.9;2.1;4.6;45.6;1.1;3.0;34.8;0.7;1.0;71.1;3.6;1.4;0.3;0.8;0.7;0;0
-;Dominick BarlowSA;F;28;14.6;3.9;1.6;3.1;53.5;0.0;0.1;0.0;0.6;0.9;72.0;3.6;0.9;0.4;0.7;0.5;2;0
-;Dario SaricOKC/PHX;PF;57;14.1;6.4;2.2;4.9;45.8;0.8;2.0;39.1;1.1;1.3;82.9;3.6;1.3;0.4;0.1;1.0;2;0
215;Reggie BullockDAL;SF;78;30.3;7.2;2.5;6.0;40.9;1.9;5.1;38.0;0.3;0.5;70.3;3.6;1.4;0.7;0.2;0.5;1;0
216;Naji MarshallNO;SF;77;23.3;9.1;3.2;7.4;43.3;0.9;2.8;30.3;1.8;2.3;78.9;3.6;2.5;0.7;0.2;1.3;0;0
-;Goga BitadzeIND/ORL;C;38;12.0;4.4;1.8;3.3;55.2;0.2;0.7;23.1;0.6;1.1;54.8;3.6;1.0;0.4;0.7;0.6;2;0
218;Tre JonesSA;PG;68;29.2;12.9;5.0;10.9;45.9;0.7;2.3;28.5;2.2;2.5;86.0;3.6;6.6;1.3;0.1;1.6;6;2
-;Delon WrightWSH;SG;50;24.4;7.4;2.8;5.8;47.4;0.8;2.4;34.5;1.0;1.2;86.7;3.6;3.9;1.8;0.3;0.9;0;0
-;JaMychal GreenGS;F;57;14.0;6.4;2.4;4.4;54.0;0.7;1.9;37.8;0.9;1.2;77.6;3.6;0.9;0.4;0.4;0.9;0;0
221;Derrick WhiteBOS;PG;82;28.3;12.4;4.3;9.2;46.2;1.8;4.8;38.1;2.0;2.3;87.5;3.6;3.9;0.7;0.9;1.2;7;0
222;Trey Murphy IIINO;SG;79;31.0;14.5;4.9;10.1;48.4;2.6;6.3;40.6;2.2;2.4;90.5;3.6;1.4;1.1;0.5;0.8;1;0
-;Chuma OkekeORL;PF;27;19.2;4.7;1.6;4.5;35.2;1.0;3.2;30.2;0.6;0.8;76.2;3.6;1.4;0.7;0.4;0.6;0;0
224;Jalen BrunsonNY;PG;68;35.0;24.0;8.6;17.6;49.1;2.0;4.7;41.6;4.8;5.8;82.9;3.5;6.2;0.9;0.2;2.1;5;0
225;Tim Hardaway Jr.DAL;SF;71;30.3;14.4;4.8;11.9;40.1;3.0;7.7;38.5;1.8;2.3;77.0;3.5;1.8;0.7;0.2;0.8;0;0
-;Julian ChampagnieSA/PHI;F;17;18.8;9.7;3.5;7.6;45.4;1.9;4.8;40.2;0.8;1.0;82.4;3.5;0.6;0.4;0.3;0.6;1;0
-;Dewayne DedmonMIA/PHI;C;38;11.2;5.2;2.0;4.0;51.0;0.3;1.0;30.8;0.9;1.3;67.3;3.5;0.7;0.2;0.5;0.7;0;0
-;Bruno FernandoATL/HOU;PF;39;10.4;3.9;1.5;2.9;52.7;0.0;0.1;0.0;0.9;1.3;70.0;3.5;0.8;0.2;0.9;0.6;1;0
229;Malik BeasleyLAL/UTAH;SG;81;25.8;12.7;4.6;11.6;39.5;2.9;8.1;35.7;0.6;0.8;76.9;3.5;1.5;0.8;0.1;1.1;1;0
230;Josh OkogiePHX;SF;72;18.8;7.3;2.3;5.8;39.1;0.9;2.7;33.5;1.9;2.7;72.4;3.5;1.5;0.8;0.5;0.9;2;0
-;Haywood HighsmithMIA;F;54;17.9;4.4;1.7;4.0;43.1;0.7;2.0;33.9;0.2;0.5;46.4;3.5;0.8;0.7;0.3;0.8;2;0
232;Anthony LambGS;F;62;19.3;6.7;2.4;5.1;47.1;1.2;3.2;36.7;0.7;1.0;76.7;3.5;1.5;0.5;0.3;0.9;0;0
-;Hamidou DialloDET;SG;56;17.8;9.3;3.8;6.7;57.3;0.1;0.4;23.8;1.6;2.6;58.8;3.5;1.0;0.9;0.3;1.3;0;0
-;Robert CovingtonLAC;PF;48;16.2;6.0;2.1;4.8;44.5;1.1;2.8;39.7;0.6;0.8;75.0;3.5;1.2;0.8;0.7;0.7;0;0
-;Gorgui DiengSA;C;31;11.5;3.9;1.5;3.8;38.5;0.7;2.4;28.0;0.3;0.4;76.9;3.5;1.7;0.1;0.5;1.0;2;0
236;Jonathan KumingaGS;PF;67;20.8;9.9;3.9;7.4;52.5;0.8;2.2;37.0;1.3;2.1;65.2;3.4;1.9;0.6;0.5;1.4;1;0
-;Olivier SarrOKC;C;9;12.7;4.0;1.7;3.3;50.0;0.1;0.9;12.5;0.6;0.8;71.4;3.4;0.4;0.1;0.6;0.4;1;0
-;Cody MartinCHA;SF;7;19.1;5.0;2.0;5.1;38.9;0.4;2.0;21.4;0.6;1.0;57.1;3.4;1.6;0.6;0.1;0.3;0;0
239;Spencer DinwiddieDAL/BKN;PG;79;34.5;17.3;5.8;13.3;43.8;2.3;6.2;36.9;3.4;4.2;81.2;3.4;6.5;0.8;0.3;1.8;9;0
-;Dean WadeCLE;PF;44;20.3;4.7;1.7;4.0;41.2;1.0;2.9;35.4;0.3;0.5;65.2;3.4;0.8;0.6;0.5;0.4;0;0
241;Terance MannLAC;SG;81;23.1;8.8;3.4;6.5;51.9;1.0;2.4;38.9;1.1;1.5;78.0;3.4;2.3;0.5;0.3;1.0;1;0
242;Monte MorrisWSH;PG;62;27.4;10.3;4.0;8.3;48.0;1.3;3.3;38.2;1.0;1.2;83.1;3.4;5.3;0.7;0.2;1.0;2;0
243;Oshae BrissettIND;SF;65;16.7;6.1;1.9;4.9;38.6;0.7;2.4;31.0;1.6;2.2;71.7;3.4;0.7;0.5;0.2;0.5;1;0
244;Kevin HuerterSAC;SG;75;29.4;15.2;5.6;11.5;48.5;2.7;6.8;40.2;1.3;1.7;72.5;3.3;2.9;1.1;0.3;1.3;0;0
245;Dillon BrooksMEM;SF;73;30.3;14.3;5.4;13.6;39.6;2.0;6.0;32.6;1.6;2.1;77.9;3.3;2.6;0.9;0.2;1.4;0;0
246;Lamar StevensCLE;F;62;18.1;5.3;2.1;4.6;44.8;0.5;1.5;31.6;0.6;0.9;70.2;3.3;0.5;0.4;0.3;0.4;1;0
247;Jordan GoodwinWSH;G;62;17.8;6.6;2.5;5.7;44.8;0.6;1.9;32.2;0.9;1.1;76.8;3.3;2.7;0.9;0.4;0.9;0;0
-;Udoka AzubuikeUTAH;C;36;10.0;3.5;1.6;2.0;81.9;0.0;0.0;0.0;0.2;0.6;35.0;3.3;0.3;0.2;0.4;0.5;0;0
249;Grayson AllenMIL;SG;72;27.4;10.4;3.4;7.7;44.0;2.0;5.1;39.9;1.6;1.8;90.5;3.3;2.3;0.9;0.2;1.0;0;0
-;Joshua PrimoSA;SG;4;23.3;7.0;2.3;6.5;34.6;0.8;3.0;25.0;1.8;2.3;77.8;3.3;4.5;0.3;0.5;2.8;0;0
251;Talen Horton-TuckerUTAH;SG;65;20.2;10.7;4.0;9.4;41.9;0.9;3.1;28.6;1.9;2.6;75.0;3.2;3.8;0.6;0.4;1.9;2;0
252;Quentin GrimesNY;SG;71;29.9;11.3;4.0;8.5;46.8;2.2;5.7;38.6;1.1;1.4;79.6;3.2;2.1;0.7;0.4;1.0;0;0
253;Max StrusMIA;SG;80;28.4;11.5;4.1;9.9;41.0;2.5;7.0;35.0;1.0;1.1;87.6;3.2;2.1;0.5;0.2;0.9;2;0
254;Mike MuscalaBOS/OKC;C;63;15.0;6.1;2.1;4.6;44.9;1.3;3.3;39.1;0.6;0.8;76.9;3.2;0.8;0.2;0.4;0.4;0;0
-;Darius BazleyOKC/PHX;PF;43;14.3;5.2;1.9;4.3;45.4;0.5;1.2;37.7;0.9;1.6;54.3;3.2;0.9;0.5;0.8;0.6;0;0
256;Dyson DanielsNO;G;59;17.7;3.8;1.5;3.5;41.8;0.5;1.5;31.4;0.4;0.7;65.0;3.2;2.3;0.7;0.2;1.0;0;0
-;Stanley JohnsonSA;SF;30;15.6;5.8;2.2;4.1;53.3;0.6;1.3;45.0;0.9;1.3;66.7;3.2;2.2;0.5;0.2;1.1;0;0
-;Skylar MaysPOR;SG;6;31.5;15.3;5.7;11.3;50.0;2.0;4.3;46.2;2.0;2.2;92.3;3.2;8.3;1.0;0.2;1.7;1;0
-;Daniel TheisIND;C;7;15.6;7.0;3.0;6.3;47.7;0.3;1.6;18.2;0.7;1.7;41.7;3.1;1.3;0.3;0.9;0.4;0;0
-;Gary Payton IIPOR/GS;SG;22;16.7;4.6;1.9;3.1;59.4;0.6;1.2;50.0;0.3;0.3;85.7;3.1;1.4;1.0;0.2;0.7;0;0
261;Marcus SmartBOS;PG;61;32.1;11.5;4.1;9.9;41.5;1.9;5.6;33.6;1.4;1.9;74.6;3.1;6.3;1.5;0.4;2.3;6;0
262;T.J. McConnellIND;PG;75;20.3;8.7;3.8;6.9;54.3;0.3;0.8;44.1;0.8;0.9;85.3;3.1;5.3;1.1;0.1;1.9;6;1
-;Alec BurksDET;SG;51;22.0;12.8;3.9;9.0;43.6;1.9;4.7;41.4;3.0;3.7;81.4;3.1;2.2;0.7;0.2;1.1;0;0
-;Dennis Smith Jr.CHA;PG;54;25.7;8.8;3.4;8.4;41.2;0.4;2.1;21.6;1.4;2.0;73.6;3.1;4.8;1.4;0.5;1.5;1;0
-;Thaddeus YoungTOR;PF;54;14.7;4.4;2.0;3.7;54.5;0.1;0.6;17.6;0.3;0.5;69.2;3.1;1.4;1.0;0.1;0.8;0;0
-;Bogdan BogdanovicATL;SG;54;27.9;14.0;5.1;11.3;44.7;2.7;6.7;40.6;1.2;1.4;83.1;3.1;2.8;0.8;0.3;1.2;0;0
-;Victor OladipoMIA;SG;42;26.3;10.7;3.8;9.6;39.7;1.7;5.0;33.0;1.4;1.9;74.7;3.0;3.5;1.4;0.3;2.1;0;0
268;Damion LeePHX;SG;74;20.4;8.2;2.7;6.1;44.2;1.5;3.3;44.5;1.3;1.4;90.4;3.0;1.3;0.4;0.1;1.1;0;0
-;Jalen SuggsORL;SG;53;23.5;9.9;3.5;8.4;41.9;1.2;3.8;32.7;1.6;2.2;72.3;3.0;2.9;1.3;0.5;1.8;0;0
270;Josh GreenDAL;SG;60;25.7;9.1;3.4;6.4;53.7;1.1;2.8;40.2;1.1;1.6;72.3;3.0;1.7;0.7;0.1;1.2;1;0
271;D'Angelo RussellLAL/MIN;PG;71;32.5;17.8;6.3;13.4;46.9;2.7;6.9;39.6;2.5;3.0;82.9;3.0;6.2;1.0;0.4;2.6;9;0
272;Austin ReavesLAL;SG;64;28.8;13.0;4.0;7.7;52.9;1.3;3.4;39.8;3.6;4.1;86.4;3.0;3.4;0.5;0.3;1.5;1;0
273;Aaron WigginsOKC;SG;70;18.5;6.8;2.7;5.2;51.2;0.7;1.7;39.3;0.8;1.0;83.1;3.0;1.1;0.6;0.2;0.8;1;0
-;Chance ComanchePOR;C;1;21.0;7.0;3.0;5.0;60.0;0.0;0.0;0.0;1.0;4.0;25.0;3.0;0.0;0.0;1.0;0.0;0;0
274;Chimezie MetuSAC;PF;66;10.4;4.9;2.0;3.3;58.9;0.1;0.6;23.7;0.8;1.1;74.0;3.0;0.6;0.3;0.3;0.5;0;0
-;Jay HuffWSH;C;7;13.6;7.3;2.1;3.6;60.0;0.9;1.7;50.0;2.1;2.3;93.8;3.0;1.4;0.4;0.6;0.7;0;0
-;Jeenathan WilliamsPOR;G;5;25.4;10.6;4.8;7.8;61.5;0.6;1.6;37.5;0.4;0.6;66.7;3.0;2.0;0.6;0.4;0.8;0;0
-;Jay ScrubbORL;G;2;15.0;6.5;2.5;3.5;71.4;1.0;1.0;100.0;0.5;1.0;50.0;3.0;0.5;1.0;0.0;1.5;0;0
-;Damian JonesLAL/UTAH;C;41;11.6;3.5;1.3;2.1;64.0;0.2;0.4;58.8;0.5;0.7;75.9;3.0;0.4;0.2;0.5;0.6;1;0
280;Trae YoungATL;PG;73;34.8;26.2;8.2;19.0;43.0;2.1;6.3;33.5;7.8;8.8;88.6;3.0;10.2;1.1;0.1;4.1;40;0
281;Shaedon SharpePOR;SG;80;22.2;9.9;3.8;8.1;47.2;1.3;3.5;36.0;0.9;1.3;71.4;3.0;1.2;0.5;0.3;1.0;0;0
282;Christian KolokoTOR;C;58;13.8;3.1;1.2;2.6;48.0;0.0;0.2;8.3;0.6;1.0;62.7;2.9;0.5;0.4;1.0;0.3;0;0
283;Tyrese MaxeyPHI;PG;60;33.6;20.3;7.3;15.2;48.1;2.7;6.2;43.4;3.0;3.6;84.5;2.9;3.5;0.8;0.1;1.3;0;0
-;Juancho HernangomezTOR;PF;42;14.6;2.9;1.1;2.7;42.1;0.4;1.6;25.4;0.2;0.4;56.3;2.9;0.6;0.4;0.1;0.4;1;0
285;Alex CarusoCHI;SG;67;23.5;5.6;1.9;4.3;45.5;0.8;2.3;36.4;0.9;1.1;80.8;2.9;2.9;1.5;0.7;1.1;1;0
286;Norman PowellLAC;G;60;26.1;17.0;5.7;11.8;47.9;1.9;4.8;39.7;3.8;4.6;81.2;2.9;1.8;0.8;0.3;1.7;0;0
-;Rudy GayUTAH;SF;56;14.6;5.2;1.9;5.1;37.8;0.6;2.3;25.2;0.8;0.9;85.7;2.9;1.0;0.3;0.3;0.7;0;0
288;Killian HayesDET;PG;76;28.3;10.3;4.0;10.7;37.7;1.1;3.8;28.0;1.2;1.5;82.1;2.9;6.2;1.4;0.4;2.3;6;0
-;Jamal CainMIA;F;18;13.3;5.4;2.1;3.7;56.1;0.4;1.1;35.0;0.9;1.2;77.3;2.9;0.7;0.6;0.1;0.3;0;0
-;T.J. WarrenBKN/PHX;SF;42;16.4;7.5;3.1;6.4;48.9;0.5;1.6;32.8;0.7;0.8;80.0;2.9;1.0;0.5;0.3;0.5;0;0
291;Coby WhiteCHI;PG;74;23.4;9.7;3.6;8.0;44.3;1.7;4.6;37.2;0.8;0.9;87.1;2.9;2.8;0.7;0.1;1.0;1;0
292;Luke KornetBOS;C;69;11.7;3.8;1.6;2.5;66.5;0.0;0.2;23.1;0.5;0.6;82.1;2.9;0.8;0.2;0.7;0.4;0;0
293;Kevin Knox IIPOR/DET;SF;63;15.1;6.6;2.4;5.3;45.8;1.0;3.0;34.9;0.7;1.0;76.7;2.8;0.5;0.4;0.2;0.8;2;0
-;Jaxson HayesNO;C;47;13.0;5.0;1.8;3.3;55.1;0.1;0.6;10.3;1.2;1.8;69.9;2.8;0.7;0.4;0.4;0.7;0;0
295;Corey KispertWSH;SF;74;28.3;11.1;3.9;7.9;49.7;2.2;5.2;42.4;1.0;1.2;85.2;2.8;1.2;0.4;0.1;0.7;0;0
-;Theo MaledonCHA;PG;44;19.4;6.7;2.3;5.8;40.2;0.6;2.2;29.5;1.4;1.7;85.1;2.8;3.5;0.8;0.3;1.3;1;0
297;Obi ToppinNY;PF;67;15.7;7.4;2.8;6.3;44.6;1.3;3.7;34.4;0.6;0.7;80.9;2.8;1.0;0.3;0.2;0.6;0;0
-;Montrezl HarrellPHI;C;57;11.9;5.6;2.2;3.7;59.8;0.0;0.1;0.0;1.2;1.8;69.3;2.8;0.6;0.3;0.4;0.6;1;0
-;Joe InglesMIL;SG;46;22.7;6.9;2.3;5.4;43.5;1.8;4.4;40.9;0.4;0.5;85.7;2.8;3.3;0.7;0.1;1.2;1;0
-;Eugene OmoruyiOKC/DET;F;40;16.1;7.0;2.5;5.7;44.3;0.6;2.2;28.1;1.3;1.9;68.0;2.8;0.7;0.7;0.1;0.9;0;0
301;David RoddyMEM;F;70;18.0;6.7;2.6;6.0;42.9;0.9;3.0;30.7;0.6;0.9;63.1;2.8;0.8;0.4;0.3;0.8;0;0
-;Serge IbakaMIL;F;16;11.6;4.1;1.6;3.4;48.1;0.4;1.1;33.3;0.5;0.8;61.5;2.8;0.3;0.1;0.4;0.7;0;0
-;Javonte GreenCHI;SF;32;15.0;5.2;1.9;3.4;56.5;0.4;1.1;37.1;0.9;1.4;66.7;2.8;0.7;0.8;0.7;0.6;0;0
-;Isaiah LiversDET;PF;52;23.1;6.7;2.3;5.5;41.7;1.4;3.9;36.5;0.6;0.8;82.1;2.8;0.8;0.5;0.5;0.6;1;0
302;Ayo DosunmuCHI;SG;80;26.2;8.6;3.5;7.1;49.3;0.7;2.4;31.2;0.8;1.0;80.5;2.8;2.6;0.8;0.3;1.2;0;0
306;Jordan PooleGS;SG;82;30.0;20.4;6.7;15.6;43.0;2.6;7.8;33.6;4.4;5.1;87.0;2.7;4.5;0.8;0.3;3.1;1;0
307;Malaki BranhamSA;G;66;23.5;10.2;4.1;9.3;44.0;1.2;3.9;30.2;0.9;1.1;82.9;2.7;1.9;0.5;0.1;1.2;0;0
308;Kentavious Caldwell-PopeDEN;SG;76;31.3;10.8;3.8;8.3;46.2;1.8;4.2;42.3;1.4;1.6;82.4;2.7;2.4;1.5;0.5;1.1;0;0
309;Mike ConleyUTAH/MIN;PG;67;30.3;11.9;3.9;9.1;42.8;2.0;5.2;38.5;2.1;2.5;83.4;2.7;6.7;1.1;0.2;1.5;6;0
-;John WallLAC;PG;34;22.2;11.4;4.1;10.0;40.7;1.0;3.2;30.3;2.3;3.3;68.1;2.7;5.2;0.8;0.4;2.4;1;0
-;Nerlens NoelBKN/DET;C;17;11.5;2.1;0.8;2.1;36.1;0.1;0.1;50.0;0.5;0.7;66.7;2.7;0.6;0.9;0.6;0.8;0;0
312;Josh RichardsonSA/NO;SG;65;23.5;10.1;3.7;8.5;43.1;1.6;4.5;36.5;1.1;1.2;85.2;2.7;2.7;1.1;0.3;1.3;1;0
-;Ousmane DiengOKC;F;39;14.6;4.9;1.9;4.6;42.0;0.7;2.5;26.5;0.4;0.6;65.2;2.7;1.2;0.4;0.2;0.7;0;0
314;Darius GarlandCLE;PG;69;35.5;21.6;7.6;16.4;46.2;2.4;6.0;41.0;4.0;4.7;86.3;2.7;7.8;1.2;0.1;2.9;18;0
315;Luke KennardLAC/MEM;SG;59;22.3;9.3;3.2;6.5;49.2;2.3;4.6;49.4;0.6;0.7;94.9;2.7;1.5;0.5;0.1;0.8;0;0
-;Kai JonesCHA;PF;46;12.0;3.4;1.5;2.6;55.8;0.1;0.4;21.1;0.4;0.6;73.1;2.7;0.3;0.4;0.7;0.7;1;0
317;Andrew NembhardIND;PG;75;27.7;9.5;3.8;8.6;44.1;1.2;3.5;35.0;0.7;0.8;79.0;2.7;4.5;0.9;0.2;1.7;5;0
-;Romeo LangfordSA;SG;43;19.6;6.9;2.8;6.0;46.7;0.4;1.4;26.2;0.9;1.3;69.6;2.7;1.2;0.6;0.3;0.7;0;0
-;Jared RhodenDET;G;14;14.1;3.2;1.2;3.1;38.6;0.4;1.4;25.0;0.4;0.4;100.0;2.6;0.3;0.3;0.1;0.2;0;0
320;Malik MonkSAC;SG;77;22.3;13.5;4.6;10.3;44.8;1.9;5.2;35.9;2.4;2.7;88.9;2.6;3.9;0.6;0.3;1.9;0;0
